Gripper,Object,Close Gripper Force,Shake Gripper Amplitude,Force Move XYZ,Success_Count,dim_x,dim_y,dim_z
tactip_gripper,mug,50,0.1,"[0.0, 0.0, 0.138]",10,0.150935,0.146784,0.243716
tactip_gripper,mug,50,0.1,"[0.005, 0.0, 0.145]",10,0.150935,0.146784,0.243716
tactip_gripper,mug,50,0.3,"[0.0, 0.0, 0.138]",10,0.150935,0.146784,0.243716
tactip_gripper,mug,50,0.3,"[0.005, 0.0, 0.145]",0,0.150935,0.146784,0.243716
tactip_gripper,mug,50,0.5,"[0.0, 0.0, 0.138]",10,0.150935,0.146784,0.243716
tactip_gripper,mug,50,0.5,"[0.005, 0.0, 0.145]",0,0.150935,0.146784,0.243716
tactip_gripper,mug,60,0.1,"[0.0, 0.0, 0.138]",10,0.150935,0.146784,0.243716
tactip_gripper,mug,60,0.1,"[0.005, 0.0, 0.145]",10,0.150935,0.146784,0.243716
tactip_gripper,mug,60,0.3,"[0.0, 0.0, 0.138]",10,0.150935,0.146784,0.243716
tactip_gripper,mug,60,0.3,"[0.005, 0.0, 0.145]",0,0.150935,0.146784,0.243716
tactip_gripper,mug,60,0.5,"[0.0, 0.0, 0.138]",10,0.150935,0.146784,0.243716
tactip_gripper,mug,60,0.5,"[0.005, 0.0, 0.145]",0,0.150935,0.146784,0.243716
tactip_gripper,bowl,200,0.1,"[0.0, 0.0, 0.128]",10,0.161818,0.161268,0.055591
tactip_gripper,bowl,200,0.1,"[0.005, 0.0, 0.13]",0,0.161818,0.161268,0.055591
tactip_gripper,bowl,200,0.3,"[0.0, 0.0, 0.128]",10,0.161818,0.161268,0.055591
tactip_gripper,bowl,200,0.3,"[0.005, 0.0, 0.13]",0,0.161818,0.161268,0.055591
tactip_gripper,bowl,200,0.5,"[0.0, 0.0, 0.128]",10,0.161818,0.161268,0.055591
tactip_gripper,bowl,200,0.5,"[0.005, 0.0, 0.13]",0,0.161818,0.161268,0.055591
tactip_gripper,bowl,300,0.1,"[0.0, 0.0, 0.128]",10,0.161818,0.161268,0.055591
tactip_gripper,bowl,300,0.1,"[0.005, 0.0, 0.13]",0,0.161818,0.161268,0.055591
tactip_gripper,bowl,300,0.3,"[0.0, 0.0, 0.128]",10,0.161818,0.161268,0.055591
tactip_gripper,bowl,300,0.3,"[0.005, 0.0, 0.13]",0,0.161818,0.161268,0.055591
tactip_gripper,bowl,300,0.5,"[0.0, 0.0, 0.128]",10,0.161818,0.161268,0.055591
tactip_gripper,bowl,300,0.5,"[0.005, 0.0, 0.13]",0,0.161818,0.161268,0.055591
tactip_gripper,bowl,400,0.1,"[0.0, 0.0, 0.128]",1,0.161818,0.161268,0.055591
tactip_gripper,bowl,400,0.1,"[0.005, 0.0, 0.13]",0,0.161818,0.161268,0.055591
tactip_gripper,bowl,400,0.3,"[0.0, 0.0, 0.128]",0,0.161818,0.161268,0.055591
tactip_gripper,bowl,400,0.3,"[0.005, 0.0, 0.13]",0,0.161818,0.161268,0.055591
tactip_gripper,bowl,400,0.5,"[0.0, 0.0, 0.128]",0,0.161818,0.161268,0.055591
tactip_gripper,bowl,400,0.5,"[0.005, 0.0, 0.13]",0,0.161818,0.161268,0.055591
tactip_gripper,mustard_bottle,50,0.1,"[0.0, 0.0, 0.135]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,50,0.1,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,50,0.3,"[0.0, 0.0, 0.135]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,50,0.3,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,50,0.5,"[0.0, 0.0, 0.135]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,50,0.5,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,60,0.1,"[0.0, 0.0, 0.135]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,60,0.1,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,60,0.3,"[0.0, 0.0, 0.135]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,60,0.3,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,60,0.5,"[0.0, 0.0, 0.135]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,60,0.5,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,70,0.1,"[0.0, 0.0, 0.135]",9,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,70,0.1,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,70,0.3,"[0.0, 0.0, 0.135]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,70,0.3,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,70,0.5,"[0.0, 0.0, 0.135]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,70,0.5,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,80,0.1,"[0.0, 0.0, 0.135]",10,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,80,0.1,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,80,0.3,"[0.0, 0.0, 0.135]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,80,0.3,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,80,0.5,"[0.0, 0.0, 0.135]",0,0.098237,0.067215,0.192166
tactip_gripper,mustard_bottle,80,0.5,"[0.005, 0.0, 0.13]",0,0.098237,0.067215,0.192166
tactip_gripper,large_clamp,200,0.0,"[0.0, 0.0, 0.128]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,200,0.0,"[0.005, 0.0, 0.13]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,200,0.1,"[0.0, 0.0, 0.128]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,200,0.1,"[0.005, 0.0, 0.13]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,200,0.3,"[0.0, 0.0, 0.128]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,200,0.3,"[0.005, 0.0, 0.13]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,300,0.0,"[0.0, 0.0, 0.128]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,300,0.0,"[0.005, 0.0, 0.13]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,300,0.1,"[0.0, 0.0, 0.128]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,300,0.1,"[0.005, 0.0, 0.13]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,300,0.3,"[0.0, 0.0, 0.128]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,300,0.3,"[0.005, 0.0, 0.13]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,400,0.0,"[0.0, 0.0, 0.128]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,400,0.0,"[0.005, 0.0, 0.13]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,400,0.1,"[0.0, 0.0, 0.128]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,400,0.1,"[0.005, 0.0, 0.13]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,400,0.3,"[0.0, 0.0, 0.128]",0,0.120721,0.171667,0.039871
tactip_gripper,large_clamp,400,0.3,"[0.005, 0.0, 0.13]",0,0.120721,0.171667,0.039871
